id;title;url;cover;rate
32659890;我和我的祖国;https://movie.douban.com/subject/32659890/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567998580.webp;7.7
3882427;我在雨中等你;https://movie.douban.com/subject/3882427/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2557226052.webp;8.2
34964143;列夫·朗道：退变;https://movie.douban.com/subject/34964143/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2596414052.webp;7.0
30182877;坏教育;https://movie.douban.com/subject/30182877/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2594754124.webp;7.0
30180781;抓住救命稻草的野兽们;https://movie.douban.com/subject/30180781/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2593860359.webp;6.8
34947678;卡拉什尼科夫;https://movie.douban.com/subject/34947678/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2581103142.webp;7.1
30264504;异界;https://movie.douban.com/subject/30264504/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2581658698.webp;6.2
34935834;一报还一报;https://movie.douban.com/subject/34935834/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2579407660.webp;7.8
2364001;梦幻岛;https://movie.douban.com/subject/2364001/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2584076497.webp;5.3
6850547;玩具总动员4;https://movie.douban.com/subject/6850547/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2557284230.webp;8.6
33400376;平原上的夏洛克;https://movie.douban.com/subject/33400376/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574198225.webp;7.9
34955843;真雄起;https://movie.douban.com/subject/34955843/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2593528124.webp;7.5
34968329;黑帮大佬和我的365日;https://movie.douban.com/subject/34968329/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2586366121.webp;5.7
30209084;对不起，我们错过了你;https://movie.douban.com/subject/30209084/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572138412.webp;8.4
33459814;恐怖之夜：噩梦电台;https://movie.douban.com/subject/33459814/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2592252065.webp;6.1
26923111;必是天堂;https://movie.douban.com/subject/26923111/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2575505515.webp;7.6
30241298;南山的部长们;https://movie.douban.com/subject/30241298/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2581888792.webp;8.1
27002635;唐顿庄园;https://movie.douban.com/subject/27002635/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575400017.webp;8.1
26858510;克劳斯：圣诞节的秘密;https://movie.douban.com/subject/26858510/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570825762.webp;8.7
26786669;决战中途岛;https://movie.douban.com/subject/26786669/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2573582192.webp;7.7
26664834;星星女孩;https://movie.douban.com/subject/26664834/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597603729.webp;6.8
27087724;好莱坞往事;https://movie.douban.com/subject/27087724/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551119672.webp;7.3
30160393;猛禽小队和哈莉·奎茵;https://movie.douban.com/subject/30160393/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575974437.webp;5.7
33404726;小委托人;https://movie.douban.com/subject/33404726/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561250762.webp;8.1
26886204;匹诺曹;https://movie.douban.com/subject/26886204/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2574653120.webp;6.8
26885074;叶问4：完结篇;https://movie.douban.com/subject/26885074/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2577578115.webp;6.9
32489562;擦一擦你那满腹经纶的道貌岸然;https://movie.douban.com/subject/32489562/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2593834538.webp;5.9
25779217;诛仙1;https://movie.douban.com/subject/25779217/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567346094.webp;4.5
30225296;柳烈的音乐专辑;https://movie.douban.com/subject/30225296/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561996109.webp;7.8
27177463;那个我最亲爱的陌生人;https://movie.douban.com/subject/27177463/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2571791441.webp;6.4
26884354;狮子王;https://movie.douban.com/subject/26884354/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2559742751.webp;7.4
26985839;魔发精灵2;https://movie.douban.com/subject/26985839/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2581064774.webp;6.6
27132510;教宗的承继;https://movie.douban.com/subject/27132510/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567299222.webp;8.6
26426056;沉睡魔咒2;https://movie.douban.com/subject/26426056/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2570105165.webp;6.1
30295905;中国机长;https://movie.douban.com/subject/30295905/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2568258113.webp;6.7
27202818;婚姻故事;https://movie.douban.com/subject/27202818/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2571760178.webp;8.6
27000084;变身特工;https://movie.douban.com/subject/27000084/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2577340942.webp;7.5
27050130;无声的抵抗;https://movie.douban.com/subject/27050130/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2588939745.webp;6.7
30327842;82年生的金智英;https://movie.douban.com/subject/30327842/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2578045524.webp;8.6
25905044;刺猬索尼克;https://movie.douban.com/subject/25905044/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2582485085.webp;6.1
26794435;哪吒之魔童降世;https://movie.douban.com/subject/26794435/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.webp;8.5
30426519;从宫本到你;https://movie.douban.com/subject/30426519/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564266421.webp;7.4
30196805;两只老虎;https://movie.douban.com/subject/30196805/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574713609.webp;6.0
34964056;陈情令之乱魄;https://movie.douban.com/subject/34964056/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2589077475.webp;5.4
5327156;被涂污的鸟;https://movie.douban.com/subject/5327156/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2573100741.webp;8.0
30211753;生态箱;https://movie.douban.com/subject/30211753/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2581808103.webp;6.1
34951277;与爱同居之永恒的爱;https://movie.douban.com/subject/34951277/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2587583674.webp;8.4
26981442;深海异兽;https://movie.douban.com/subject/26981442/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2576665910.webp;5.9
30488003;致允熙;https://movie.douban.com/subject/30488003/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2571774021.webp;8.2
30466885;我们永不言弃;https://movie.douban.com/subject/30466885/;https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2595882406.webp;4.9
33441983;正直的候选人;https://movie.douban.com/subject/33441983/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2580093763.webp;7.1
30301264;看不见的女人;https://movie.douban.com/subject/30301264/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2558202387.webp;7.8
30289194;爆炸新闻;https://movie.douban.com/subject/30289194/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2571554907.webp;7.1
